Timestamp,User,Action,Details
"2025-07-24 19:14:05",System,"Password Changed","Admin user 'riseandshine' updated their password."
"2025-07-24 19:41:11",System,"Message Deleted","Deleted a message from 'olerato'."
"2025-07-24 19:48:45",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-07-24 19:49:05",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-07-24 19:49:16",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-07-24 19:49:18",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-07-24 19:50:17",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-07-24 19:50:34",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-07-24 19:50:40",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-07-24 19:51:03",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-07-24 19:57:08",riseandshine,"Login Success","User 'riseandshine' logged in."
"2025-07-24 20:04:13",riseandshine,"User Saved","Saved user: 'riseandshine'"
"2025-07-24 20:10:27",riseandshine,"Email Template Updated","Updated template: 'Member Approval'"
"2025-07-24 20:11:12",riseandshine,"Bulk Notification Sent","Subject: 'Welcome to Rise & Shine Chess Club!'"
"2025-07-24 20:53:42",riseandshine,"Event Added","Added new event: 'bbbb'"
"2025-07-24 20:58:15",riseandshine,"Bulk Notification Sent","Subject: 'Welcome to Rise & Shine Chess Club!'"
"2025-07-24 21:03:16",riseandshine,"Event Added","Added new event: ''l[kojuf'"
"2025-07-24 21:12:38",riseandshine,"Login Success","User 'riseandshine' logged in."
"2025-07-24 21:13:11",riseandshine,"Image Deleted","Deleted image file: '6877787795599-chess-9536049_1920.jpg'"
"2025-07-24 21:13:14",riseandshine,"Image Deleted","Deleted image file: '68826ab5d37b0-logo.png'"
"2025-07-24 21:13:17",riseandshine,"Image Deleted","Deleted image file: '68827f48a0693-clipart1000339.png'"
"2025-07-24 21:13:20",riseandshine,"Image Deleted","Deleted image file: '68827fb5833ab-4053c1a25e154.png'"
"2025-07-24 21:13:22",riseandshine,"Image Deleted","Deleted image file: '68827fb58360e-Cups_-_Esther_Mahlangu-removebg-preview.png'"
"2025-07-24 21:13:25",riseandshine,"Image Deleted","Deleted image file: 'File'"
"2025-07-24 21:13:58",riseandshine,"Image Deleted","Deleted image file: 'File'"
"2025-07-24 21:14:01",riseandshine,"Image Deleted","Deleted image file: 'File'"
"2025-07-24 21:14:05",riseandshine,"Image Deleted","Deleted image file: 'File'"
"2025-07-24 21:16:33",riseandshine,"Images Uploaded","13 image(s) added to 'Tournament' category. Files: 6882a2b17772d-IMG-20250716-WA0077.jpg, 6882a2b177884-IMG-20250716-WA0078.jpg, 6882a2b1779c7-IMG-20250716-WA0076.jpg, 6882a2b177b7f-IMG-20250716-WA0073.jpg, 6882a2b177c4e-IMG-20250716-WA0079.jpg, 6882a2b177d44-IMG-20250716-WA0075.jpg, 6882a2b177df6-IMG-20250716-WA0074.jpg, 6882a2b177ebf-IMG-20250716-WA0072.jpg, 6882a2b177f94-IMG-20250716-WA0071.jpg, 6882a2b1780a3-IMG-20250716-WA0070.jpg, 6882a2b178165-IMG-20250716-WA0068.jpg, 6882a2b178306-IMG-20250716-WA0069.jpg, 6882a2b1783b9-IMG-20250716-WA0067.jpg"
"2025-07-24 21:16:52",riseandshine,"Image Deleted","Deleted image file: 'File'"
"2025-07-24 21:16:58",riseandshine,"Image Deleted","Deleted image file: 'File'"
"2025-07-24 21:17:04",riseandshine,"Image Deleted","Deleted image file: 'File'"
"2025-07-24 21:17:29",riseandshine,"Image Deleted","Deleted image file: 'File'"
"2025-07-24 21:19:12",riseandshine,"Event Added","Added new event: 'Chess Tournament'"
"2025-07-24 21:19:50",riseandshine,"Event Deleted","Deleted event: ''l[kojuf'"
"2025-07-25 14:55:27",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-07-25 14:56:00",System,"Login Failed","Failed login attempt for username: 'riseandshine'."
"2025-08-05 15:19:46",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-08-05 15:19:56",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-08-07 17:42:12",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-08-07 17:42:17",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-08-07 19:00:21",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-08-11 12:36:04",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-08-11 12:36:29",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-08-11 20:31:06",System,"Login Failed","Failed login attempt for username: 'admin'."
"2025-08-14 16:11:36",riseandshine,Login,"riseandshine logged in."
"2025-08-14 17:28:42",riseandshine,"Image Delete","Deleted image: "
"2025-08-14 17:28:55",riseandshine,"Image Delete","Deleted image: "
"2025-08-14 17:29:00",riseandshine,"Image Delete","Deleted image: "
"2025-08-14 17:29:05",riseandshine,"Image Delete","Deleted image: "
"2025-08-14 17:29:11",riseandshine,"Image Delete","Deleted image: "
"2025-08-14 17:29:39",riseandshine,"Image Delete","Deleted image: "
"2025-08-14 17:32:12",riseandshine,"Event Delete","Deleted event: 2025-09-20"
"2025-08-14 18:43:07",riseandshine,Login,"riseandshine logged in."
"2025-08-14 18:43:12",riseandshine,Logout,"User 'riseandshine' logged out."
"2025-08-14 18:46:00",riseandshine,Login,"riseandshine logged in."
"2025-08-14 18:52:40",riseandshine,Logout,"User 'riseandshine' logged out."
"2025-08-14 18:52:50",riseandshine,Login,"User 'riseandshine' logged in."
"2025-08-14 18:54:38",riseandshine,Logout,"User 'riseandshine' logged out."
"2025-08-14 18:54:40",riseandshine,Login,"User 'riseandshine' logged in."
"2025-08-14 18:59:52",riseandshine,"Member Status Change","Status for olerato mauwane set to approved"
"2025-08-14 19:16:54",riseandshine,"Bulk Email Sent","Subject: 'Welcome to Rise & Shine Chess Club!' to approved members."
"2025-08-14 19:30:09",riseandshine,"Event Create","Event: tournament"
